ticker,ISIN,Date,totalwrds,partwrds,RVT,positivescore,negativescore,fearscore,findownscore,finupscore,finhypescore,finvolatilescore,certaintyscore,uncertaintyscore,positivePartscr,negativePartscr,fearPartscr,findownPartscr,finupPartscr,finhypePartscr,finvolatilePartscr,certaintyPartscr,uncertaintyPartscr
VZ,US92343V1044,2017-06-05 10:00:00,1118,202,0.0058,0.0054,0.0215,0.0018,0.0000,0.0072,0.0268,0.0161,0.0197,0.0089,0.0000,0.0099,0.0000,0.0000,0.0099,0.0297,0.0000,0.0198,0.0000
VZ,US92343V1044,2017-06-05 11:00:00,564,101,0.0012,0.0053,0.0213,0.0018,0.0000,0.0071,0.0266,0.0160,0.0195,0.0089,0.0000,0.0099,0.0000,0.0000,0.0099,0.0297,0.0000,0.0198,0.0000
VZ,US92343V1044,2017-06-05 12:00:00,1744,1414,0.0025,0.0000,0.0000,0.0000,0.0000,0.0017,0.0069,0.0017,0.0000,0.0069,0.0000,0.0000,0.0000,0.0000,0.0014,0.0064,0.0021,0.0000,0.0064
VZ,US92343V1044,2017-06-05 18:00:00,71,15,0.0036,0.0000,0.0141,0.0000,0.0282,0.0563,0.0000,0.0141,0.0000,0.0141,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
VZ,US92343V1044,2017-06-06 07:00:00,1804,355,0.0042,0.0055,0.0227,0.0022,0.0000,0.0078,0.0272,0.0144,0.0205,0.0100,0.0000,0.0085,0.0000,0.0000,0.0113,0.0282,0.0000,0.0225,0.0000
VZ,US92343V1044,2017-06-06 13:00:00,680,261,0.0012,0.0118,0.0221,0.0000,0.0029,0.0103,0.0265,0.0088,0.0088,0.0221,0.0077,0.0153,0.0000,0.0038,0.0115,0.0268,0.0038,0.0038,0.0345
VZ,US92343V1044,2017-06-06 14:00:00,786,451,0.0026,0.0153,0.0064,0.0000,0.0076,0.0140,0.0191,0.0064,0.0064,0.0140,0.0177,0.0044,0.0000,0.0067,0.0089,0.0222,0.0067,0.0067,0.0177
VZ,US92343V1044,2017-06-06 16:00:00,899,348,0.0018,0.0178,0.0122,0.0011,0.0078,0.0256,0.0067,0.0111,0.0056,0.0067,0.0086,0.0086,0.0000,0.0086,0.0172,0.0086,0.0115,0.0029,0.0029
VZ,US92343V1044,2017-06-06 17:00:00,65,36,0.0018,0.0154,0.0000,0.0000,0.0000,0.0154,0.0154,0.0154,0.0000,0.0154,0.0278,0.0000,0.0000,0.0000,0.0278,0.0278,0.0278,0.0000,0.0278
VZ,US92343V1044,2017-06-06 18:00:00,275,115,0.0035,0.0182,0.0218,0.0000,0.0073,0.0218,0.0145,0.0073,0.0073,0.0182,0.0261,0.0261,0.0000,0.0087,0.0174,0.0174,0.0000,0.0087,0.0174
VZ,US92343V1044,2017-06-06 20:00:00,899,348,0.0031,0.0178,0.0122,0.0011,0.0078,0.0256,0.0067,0.0111,0.0056,0.0067,0.0086,0.0086,0.0000,0.0086,0.0172,0.0086,0.0115,0.0029,0.0029
VZ,US92343V1044,2017-06-06 21:00:00,899,348,0.0012,0.0178,0.0122,0.0011,0.0078,0.0256,0.0067,0.0111,0.0056,0.0067,0.0086,0.0086,0.0000,0.0086,0.0172,0.0086,0.0115,0.0029,0.0029
VZ,US92343V1044,2017-06-07 07:00:00,488,197,0.0021,0.0205,0.0225,0.0000,0.0061,0.0225,0.0164,0.0082,0.0082,0.0205,0.0305,0.0254,0.0000,0.0051,0.0152,0.0203,0.0000,0.0102,0.0203
VZ,US92343V1044,2017-06-07 16:00:00,2863,1117,0.0165,0.0161,0.0325,0.0010,0.0119,0.0084,0.0164,0.0021,0.0119,0.0297,0.0134,0.0179,0.0000,0.0063,0.0054,0.0152,0.0027,0.0125,0.0295
VZ,US92343V1044,2017-06-07 17:00:00,188,154,0.0040,0.0000,0.0000,0.0000,0.0000,0.0000,0.0213,0.0000,0.0213,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0260,0.0000,0.0260,0.0000
VZ,US92343V1044,2017-06-07 22:00:00,115,60,0.0095,0.0000,0.0348,0.0000,0.0174,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0667,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
VZ,US92343V1044,2017-06-08 14:00:00,1048,472,0.0031,0.0219,0.0086,0.0010,0.0010,0.0105,0.0153,0.0057,0.0095,0.0038,0.0212,0.0127,0.0021,0.0000,0.0064,0.0169,0.0042,0.0106,0.0000
VZ,US92343V1044,2017-06-08 17:00:00,659,296,0.0163,0.0046,0.0455,0.0000,0.0137,0.0000,0.0410,0.0000,0.0410,0.0137,0.0101,0.0304,0.0000,0.0304,0.0000,0.0608,0.0000,0.0608,0.0203
VZ,US92343V1044,2017-06-08 19:00:00,305,138,0.0204,0.0033,0.0098,0.0000,0.0000,0.0230,0.0197,0.0066,0.0098,0.0066,0.0000,0.0072,0.0000,0.0000,0.0072,0.0217,0.0072,0.0145,0.0072
VZ,US92343V1044,2017-06-08 21:00:00,485,216,0.0028,0.0062,0.0268,0.0000,0.0082,0.0330,0.0206,0.0041,0.0227,0.0062,0.0046,0.0139,0.0000,0.0139,0.0231,0.0324,0.0000,0.0324,0.0093
VZ,US92343V1044,2017-06-08 22:00:00,341,139,0.0037,0.0088,0.0352,0.0000,0.0117,0.0147,0.0264,0.0029,0.0264,0.0088,0.0072,0.0216,0.0000,0.0216,0.0000,0.0432,0.0000,0.0432,0.0144
VZ,US92343V1044,2017-06-09 07:00:00,1298,531,0.0052,0.0069,0.0401,0.0000,0.0146,0.0108,0.0277,0.0039,0.0277,0.0108,0.0056,0.0264,0.0000,0.0301,0.0000,0.0471,0.0019,0.0471,0.0188
VZ,US92343V1044,2017-06-09 14:00:00,571,202,0.0048,0.0035,0.0070,0.0000,0.0000,0.0000,0.0385,0.0035,0.0245,0.0070,0.0099,0.0198,0.0000,0.0000,0.0000,0.0297,0.0099,0.0000,0.0198
VZ,US92343V1044,2017-06-09 21:00:00,266,168,0.0022,0.0301,0.0263,0.0000,0.0038,0.0150,0.0263,0.0226,0.0038,0.0376,0.0060,0.0298,0.0000,0.0060,0.0119,0.0119,0.0179,0.0000,0.0357
VZ,US92343V1044,2017-06-09 23:00:00,907,236,0.0233,0.0044,0.0044,0.0000,0.0000,0.0000,0.0198,0.0000,0.0221,0.0000,0.0085,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
VZ,US92343V1044,2017-06-13 16:00:00,1182,310,0.0091,0.0186,0.0169,0.0000,0.0085,0.0135,0.0186,0.0034,0.0152,0.0068,0.0129,0.0323,0.0000,0.0000,0.0065,0.0387,0.0000,0.0387,0.0129
VZ,US92343V1044,2017-06-13 19:00:00,509,211,0.0109,0.0059,0.0118,0.0000,0.0039,0.0138,0.0295,0.0138,0.0138,0.0118,0.0047,0.0095,0.0000,0.0000,0.0190,0.0237,0.0190,0.0095,0.0142
VZ,US92343V1044,2017-06-13 23:00:00,207,14,0.0056,0.0290,0.0097,0.0048,0.0048,0.0048,0.0338,0.0242,0.0193,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
VZ,US92343V1044,2017-06-14 07:00:00,2441,818,0.0055,0.0176,0.0184,0.0000,0.0090,0.0123,0.0193,0.0037,0.0176,0.0045,0.0122,0.0293,0.0000,0.0037,0.0061,0.0367,0.0037,0.0367,0.0049
VZ,US92343V1044,2017-06-14 22:00:00,382,110,0.0086,0.0209,0.0157,0.0000,0.0000,0.0157,0.0105,0.0052,0.0105,0.0157,0.0545,0.0364,0.0000,0.0000,0.0364,0.0000,0.0000,0.0000,0.0000
VZ,US92343V1044,2017-06-15 02:00:00,191,55,0.0123,0.0209,0.0157,0.0000,0.0000,0.0157,0.0105,0.0052,0.0105,0.0157,0.0545,0.0364,0.0000,0.0000,0.0364,0.0000,0.0000,0.0000,0.0000
VZ,US92343V1044,2017-06-15 13:00:00,256,151,0.0023,0.0151,0.0209,0.0038,0.0113,0.0000,0.0076,0.0171,0.0038,0.0000,0.0199,0.0132,0.0066,0.0066,0.0000,0.0066,0.0066,0.0000,0.0000
VZ,US92343V1044,2017-06-15 15:00:00,334,200,0.0047,0.0030,0.0359,0.0000,0.0120,0.0120,0.0180,0.0060,0.0090,0.0329,0.0050,0.0550,0.0000,0.0150,0.0150,0.0050,0.0100,0.0000,0.0200
VZ,US92343V1044,2017-06-15 16:00:00,420,71,0.0023,0.0143,0.0619,0.0000,0.0071,0.0238,0.0095,0.0071,0.0000,0.0024,0.0141,0.0423,0.0000,0.0000,0.0563,0.0000,0.0282,0.0000,0.0000
VZ,US92343V1044,2017-06-15 19:00:00,302,240,0.0075,0.0130,0.0000,0.0000,0.0000,0.0000,0.0162,0.0033,0.0033,0.0033,0.0162,0.0000,0.0000,0.0000,0.0000,0.0122,0.0041,0.0000,0.0041
VZ,US92343V1044,2017-06-16 00:00:00,60,37,0.0059,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0167,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0270
VZ,US92343V1044,2017-06-16 17:00:00,786,126,0.0042,0.0153,0.0127,0.0025,0.0076,0.0254,0.0280,0.0051,0.0127,0.0229,0.0159,0.0317,0.0159,0.0000,0.0476,0.0476,0.0000,0.0317,0.0317
VZ,US92343V1044,2017-06-16 23:00:00,345,206,0.0108,0.0261,0.0029,0.0000,0.0116,0.0493,0.0116,0.0145,0.0058,0.0058,0.0146,0.0000,0.0000,0.0097,0.0485,0.0194,0.0194,0.0097,0.0097
VZ,US92343V1044,2017-06-19 13:00:00,202,68,0.0079,0.0000,0.0000,0.0000,0.0000,0.0000,0.0198,0.0000,0.0198,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
VZ,US92343V1044,2017-06-19 14:00:00,154,132,0.0025,0.0000,0.0130,0.0000,0.0130,0.0260,0.0000,0.0000,0.0000,0.0000,0.0000,0.0152,0.0000,0.0152,0.0303,0.0000,0.0000,0.0000,0.0000
VZ,US92343V1044,2017-06-19 16:00:00,116,0,0.0046,0.0000,0.0517,0.0000,0.0000,0.0000,0.0000,0.0172,0.0000,0.0000,0.0000,0.0152,0.0000,0.0152,0.0303,0.0000,0.0000,0.0000,0.0000
VZ,US92343V1044,2017-06-19 20:00:00,87,38,0.0052,0.0115,0.0000,0.0000,0.0000,0.0345,0.0460,0.0000,0.0460,0.0115,0.0263,0.0000,0.0000,0.0000,0.0526,0.0526,0.0000,0.0526,0.0263
VZ,US92343V1044,2017-06-19 22:00:00,430,67,0.0039,0.0093,0.0093,0.0000,0.0000,0.0488,0.0279,0.0093,0.0140,0.0209,0.0299,0.0000,0.0000,0.0000,0.0448,0.0299,0.0000,0.0000,0.0299
VZ,US92343V1044,2017-06-21 14:00:00,1342,512,0.0067,0.0194,0.0142,0.0007,0.0007,0.0156,0.0179,0.0127,0.0052,0.0164,0.0176,0.0137,0.0020,0.0000,0.0117,0.0098,0.0078,0.0020,0.0195
VZ,US92343V1044,2017-06-26 12:00:00,514,338,0.0025,0.0233,0.0117,0.0000,0.0039,0.0058,0.0078,0.0136,0.0078,0.0019,0.0207,0.0178,0.0000,0.0000,0.0089,0.0030,0.0059,0.0030,0.0030
VZ,US92343V1044,2017-06-28 06:00:00,7,0,0.0076,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
VZ,US92343V1044,2017-06-29 12:00:00,84,35,0.0011,0.0119,0.0000,0.0000,0.0000,0.0119,0.0119,0.0000,0.0119,0.0000,0.0286,0.0000,0.0000,0.0000,0.0286,0.0000,0.0000,0.0000,0.0000
VZ,US92343V1044,2017-06-30 05:00:00,458,364,0.0667,0.0333,0.0000,0.0021,0.0021,0.0043,0.0107,0.0000,0.0000,0.0043,0.0309,0.0000,0.0000,0.0027,0.0027,0.0135,0.0000,0.0000,0.0054
VZ,US92343V1044,2017-06-30 16:00:00,209,30,0.0018,0.0048,0.0144,0.0000,0.0000,0.0144,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
VZ,US92343V1044,2017-07-01 07:00:00,579,219,0.0064,0.0294,0.0173,0.0017,0.0052,0.0328,0.0173,0.0086,0.0035,0.0173,0.0365,0.0274,0.0046,0.0091,0.0320,0.0137,0.0091,0.0000,0.0137
VZ,US92343V1044,2017-07-01 11:00:00,1168,438,0.0046,0.0291,0.0171,0.0017,0.0051,0.0325,0.0171,0.0086,0.0034,0.0171,0.0365,0.0274,0.0046,0.0091,0.0320,0.0137,0.0091,0.0000,0.0137
VZ,US92343V1044,2017-07-03 12:00:00,1104,932,0.0038,0.0018,0.0000,0.0000,0.0000,0.0045,0.0018,0.0027,0.0000,0.0018,0.0021,0.0000,0.0000,0.0000,0.0043,0.0021,0.0021,0.0000,0.0021
VZ,US92343V1044,2017-07-03 14:00:00,64,52,0.0063,0.0124,0.0041,0.0000,0.0000,0.0332,0.0166,0.0000,0.0000,0.0207,0.0167,0.0056,0.0000,0.0000,0.0447,0.0111,0.0000,0.0000,0.0223
VZ,US92343V1044,2017-07-03 15:00:00,328,178,0.0043,0.0000,0.0183,0.0000,0.0061,0.0061,0.0305,0.0061,0.0000,0.0488,0.0000,0.0112,0.0000,0.0000,0.0112,0.0337,0.0000,0.0000,0.0562
VZ,US92343V1044,2017-07-03 18:00:00,212,24,0.0057,0.0651,0.0279,0.0000,0.0186,0.0930,0.0186,0.0000,0.0093,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
VZ,US92343V1044,2017-07-03 19:00:00,215,112,0.0085,0.0093,0.0186,0.0047,0.0000,0.0186,0.0140,0.0233,0.0047,0.0279,0.0089,0.0179,0.0089,0.0000,0.0179,0.0089,0.0179,0.0089,0.0268
VZ,US92343V1044,2017-07-04 07:00:00,494,70,0.0039,0.0081,0.0121,0.0000,0.0162,0.0040,0.0162,0.0081,0.0081,0.0040,0.0286,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
VZ,US92343V1044,2017-07-05 13:00:00,294,216,0.0019,0.0578,0.0000,0.0000,0.0000,0.0170,0.0374,0.0136,0.0034,0.0136,0.0509,0.0000,0.0000,0.0000,0.0185,0.0417,0.0093,0.0046,0.0139
VZ,US92343V1044,2017-07-06 15:00:00,360,204,0.0023,0.0333,0.0278,0.0083,0.0056,0.0417,0.0250,0.0056,0.0111,0.0167,0.0441,0.0490,0.0147,0.0098,0.0490,0.0294,0.0098,0.0098,0.0245
VZ,US92343V1044,2017-07-07 17:00:00,1067,510,0.0078,0.0159,0.0319,0.0000,0.0084,0.0037,0.0178,0.0000,0.0112,0.0234,0.0294,0.0294,0.0000,0.0039,0.0039,0.0137,0.0000,0.0078,0.0157
