"Date","Index","D12","E12","b/m","tbl","AAA","BAA","lty","ntis","Rfree","infl","ltr","corpr","svar","csp","CRSP_SPvw","CRSP_SPvwx"
"1878-06-01","3.41","0.185","0.305","NaN","NaN","NaN","NaN","NaN","NaN","0.002448079511076522","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"1878-07-01","3.48","0.1842","0.3058","NaN","NaN","NaN","NaN","NaN","NaN","0.002293481063557394","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"1878-08-01","3.45","0.1833","0.3067","NaN","NaN","NaN","NaN","NaN","NaN","0.002448079511076522","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"1878-09-01","3.52","0.1825","0.3075","NaN","NaN","NaN","NaN","NaN","NaN","0.0030441640231788224","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"1878-10-01","3.48","0.1817","0.3083","NaN","NaN","NaN","NaN","NaN","NaN","0.0036545983096232773","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"1878-11-01","3.47","0.1808","0.3092","NaN","NaN","NaN","NaN","NaN","NaN","0.003411940143906607","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"1878-12-01","3.45","0.18","0.31","NaN","NaN","NaN","NaN","NaN","NaN","0.0033678141504435155","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"1879-01-01","3.58","0.1817","0.3158","NaN","NaN","NaN","NaN","NaN","NaN","0.0028307918809413243","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"1879-02-01","3.71","0.1833","0.3217","NaN","NaN","NaN","NaN","NaN","NaN","0.002448079511076522","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"1879-03-01","3.65","0.185","0.3275","NaN","NaN","NaN","NaN","NaN","NaN","0.0033678141504435155","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"1879-04-01","3.77","0.1867","0.3333","NaN","NaN","NaN","NaN","NaN","NaN","0.0036545983096232773","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"1879-05-01","3.94","0.1883","0.3392","NaN","NaN","NaN","NaN","NaN","NaN","0.002911731501263104","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"1879-06-01","3.96","0.19","0.345","NaN","NaN","NaN","NaN","NaN","NaN","0.0027719225874356978","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"1879-07-01","4.04","0.1917","0.3508","NaN","NaN","NaN","NaN","NaN","NaN","0.002514328672750217","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
